Year,Price_wheat_ton,Price_rice_ton
1992,170.12,278.25
1992,161.44,277.2
1992,153.07,278
1992,139.72,274
1992,140.36,268.8
1992,129.93,278.5
1992,118.8,270.8
1992,131.47,257
1992,137.42,250
1992,145.84,252.6
1992,146.27,256.25
1993,156.92,259.75
1993,149.43,254.25
1993,145.46,230.2
1993,156.34,206.25
1993,140.09,184.75
1993,112.25,189
1993,116.77,200.75
1993,119.55,209
1993,115.71,206
1993,127.87,256.75
1993,136.41,307.75
1993,140.49,320.5
1994,152.71,356
1994,144.19,343.75
1994,133.49,269.75
1994,129.98,269.25
1994,125.25,233
1994,120.15,213.75
1994,119.51,226.25
1994,128.15,252.6
1994,142.12,259.75
1994,157.38,262
1994,152.39,264.5
1994,157.34,260.5
1995,152.99,276.8
1995,149.71,280.5
1995,143.08,286.25
1995,140.68,281.5
1995,143.28,291
1995,153.48,326
1995,173.36,345.6
1995,168.47,339.5
1995,185.61,359.75
1995,194.04,382.6
1995,198.27,340.5
1995,205.33,341.5
1996,196.98,369.2
1996,203.96,368
1996,205.51,359.5
1996,247.52,327.2
1996,213.43,332.25
1996,180.6,341.5
1996,181.08,358
1996,174.99,335.5
1996,169.71,328.4
1996,158.44,312.75
1996,158.21,315
1996,158.6,319.2
1997,154.01,356
1997,143.58,347
1997,153.8,323.4
1997,158.62,304.5
1997,152.65,324.5
1997,131.59,323.2
1997,127.78,320
1997,140.91,285
1997,143.22,270.6
1997,143.65,265.75
1997,138.23,252.5
1997,135.74,269.67
1998,130.21,288
1998,127.32,297.25
1998,129.85,296
1998,118.33,311.5
1998,112.29,318.25
1998,107.18,325.5
1998,96.78,324.25
1998,92.85,321.4
1998,96.34,321.25
1998,107.64,298.75
1998,115.28,270
1998,104.11,277.75
1999,103.18,299.75
1999,94.96,280
1999,100.24,256.2
1999,99.65,235.5
1999,96.59,244.25
1999,92.94,253.8
1999,85.3,259
1999,92.78,244.5
1999,102.06,229.25
1999,98.67,217
1999,96.91,228
1999,92.06,233.75
2000,98.56,241.4
2000,100.06,241
2000,97.19,225.75
2000,95.19,214.75
2000,104.28,198.6
2000,99.28,196
2000,91.17,189
2000,90.87,186.5
2000,97.88,179
2000,104.33,187.5
2000,103.21,185
2000,104.95,184.25
2001,110.37,184.4
2001,106.74,184.5
2001,103.49,175
2001,101.09,163.75
2001,102.55,164.33
2001,97.42,168
2001,107.98,169.4
2001,105.91,168.25
2001,107.57,173
2001,115.01,170.6
2001,116.36,173.5
2001,118.2,179.33
2002,121.68,191.75
2002,113.38,195.33
2002,116.62,189
2002,112.99,190.2
